     1 ,     125.86 ,       0.01 
     2 ,     123.80 ,       0.02 
     4 ,     125.95 ,       0.03 
     8 ,     125.48 ,       0.06 
    16 ,     126.46 ,       0.13 
    32 ,     126.81 ,       0.25 
    64 ,     255.10 ,       0.25 
   128 ,     265.69 ,       0.48 
   256 ,     269.25 ,       0.95 
   512 ,     298.24 ,       1.72 
  1024 ,     344.91 ,       2.97 
  2048 ,     247.24 ,       8.28 
  4096 ,     359.89 ,      11.38 
  8192 ,     526.47 ,      15.56 
 16384 ,     932.41 ,      17.57 
 32768 ,    1711.34 ,      19.15 
 65536 ,    2926.79 ,      22.39 
131072 ,    5805.18 ,      22.58 
262144 ,   11567.16 ,      22.66 
524288 ,   23001.88 ,      22.79 
1048576 ,   45871.29 ,      22.86 
2097152 ,   91837.18 ,      22.84 
4194304 ,  183112.83 ,      22.91 
