     1 ,     330.71 ,       0.00 
     2 ,      39.11 ,       0.05 
     4 ,      38.86 ,       0.10 
     8 ,      38.52 ,       0.21 
    16 ,      39.07 ,       0.41 
    32 ,      38.79 ,       0.82 
    64 ,      39.14 ,       1.64 
   128 ,      39.43 ,       3.25 
   256 ,      39.45 ,       6.49 
   512 ,      39.52 ,      12.96 
  1024 ,      39.28 ,      26.07 
  2048 ,      39.90 ,      51.33 
  4096 ,      39.49 ,     103.73 
  8192 ,      36.99 ,     221.46 
 16384 ,      36.79 ,     445.33 
 32768 ,      37.05 ,     884.45 
 65536 ,      41.37 ,    1584.13 
131072 ,      46.62 ,    2811.76 
262144 ,      57.13 ,    4588.18 
524288 ,      79.08 ,    6629.85 
1048576 ,     117.98 ,    8887.73 
2097152 ,     197.40 ,   10624.13 
4194304 ,     357.93 ,   11718.09 
